Date,Open,High,Low,Close,Adj Close,Volume
2024-01-02,280.0,287.0,275.8800048828125,285.45001220703125,285.45001220703125,1904200
2024-01-03,277.25,287.8900146484375,276.5199890136719,280.6400146484375,280.6400146484375,1677600
2024-01-04,280.5,295.4800109863281,276.2699890136719,288.79998779296875,288.79998779296875,2311100
2024-01-05,288.79998779296875,298.8800048828125,287.57000732421875,292.1300048828125,292.1300048828125,2342000
2024-01-08,294.8900146484375,321.82000732421875,293.5199890136719,320.2799987792969,320.2799987792969,4262600
2024-01-09,318.3299865722656,349.17999267578125,317.2099914550781,343.7300109863281,343.7300109863281,6703300
2024-01-10,347.0,357.989990234375,332.239990234375,342.3800048828125,342.3800048828125,5345400
2024-01-11,344.8399963378906,355.17999267578125,330.739990234375,343.30999755859375,343.30999755859375,4172900
2024-01-12,345.5299987792969,349.4800109863281,338.2900085449219,339.55999755859375,339.55999755859375,2286900
2024-01-16,340.54998779296875,352.0,324.30999755859375,326.30999755859375,326.30999755859375,4732900
2024-01-17,320.510009765625,322.0,305.75,318.2300109863281,318.2300109863281,3585800
2024-01-18,330.010009765625,334.0,306.4700012207031,311.44000244140625,311.44000244140625,4875100
2024-01-19,347.55999755859375,428.69000244140625,338.8800048828125,423.3599853515625,423.3599853515625,23049300
2024-01-22,456.3500061035156,485.8599853515625,410.19000244140625,436.239990234375,436.239990234375,18823300
2024-01-23,436.0,458.2699890136719,416.5400085449219,457.3800048828125,457.3800048828125,9677200
2024-01-24,471.2900085449219,496.7799987792969,460.2300109863281,470.19000244140625,470.19000244140625,12117000
2024-01-25,476.1099853515625,483.6600036621094,466.1099853515625,475.5799865722656,475.5799865722656,6717300
2024-01-26,467.1000061035156,483.25,459.70001220703125,474.1499938964844,474.1499938964844,5035600
2024-01-29,475.6700134277344,495.7200012207031,471.8999938964844,495.6700134277344,495.6700134277344,11525100
2024-01-30,547.3200073242188,554.4400024414062,501.1700134277344,512.969970703125,512.969970703125,17956400
2024-01-31,503.3500061035156,546.0,503.3299865722656,529.6099853515625,529.6099853515625,11997300
2024-02-01,540.0,587.6099853515625,536.0,583.5,583.5,13609600
2024-02-02,592.52001953125,606.0,565.0,579.6300048828125,579.6300048828125,12179100
2024-02-05,589.8800048828125,670.0,587.9500122070312,663.3499755859375,663.3499755859375,17596400
2024-02-06,673.0,686.0,625.8099975585938,681.5900268554688,681.5900268554688,18489000
2024-02-07,675.0,699.77001953125,660.0,683.5999755859375,683.5999755859375,12333000
2024-02-08,670.760009765625,714.489990234375,666.0499877929688,698.0,698.0,9413700
2024-02-09,710.0499877929688,745.1699829101562,708.9000244140625,740.2899780273438,740.2899780273438,10834800
2024-02-12,761.3400268554688,810.0,745.0700073242188,773.010009765625,773.010009765625,16872300
2024-02-13,750.0,800.0,745.510009765625,791.489990234375,791.489990234375,14480500
2024-02-14,823.3099975585938,886.030029296875,820.8800048828125,880.5499877929688,880.5499877929688,20128600
2024-02-15,945.0,1006.3499755859375,917.7100219726562,1004.0,1004.0,25240600
